"species","ordre"
"Isophya stysi","Orthoptera"
"Leptophyes albovittata","Orthoptera"
"Leptophyes boscii","Orthoptera"
"Leptophyes laticauda","Orthoptera"
"Leptophyes punctatissima","Orthoptera"
"Locusta migratoria gallica","Orthoptera"
"Locusta migratoria migratoria","Orthoptera"
"Locusta migratoria migratorioides","Orthoptera"
"Lucasinova nigromarginata","Orthoptera"
"Lyristes plebejus","Hemiptera"
"Meconema meridionale","Orthoptera"
"Meconema thalassinum","Orthoptera"
"Melanogryllus desertus","Orthoptera"
"Metaplastes pulchripennis","Orthoptera"
"Metrioptera brachyptera","Orthoptera"
"Metrioptera buyssoni","Orthoptera"
"Metrioptera saussuriana","Orthoptera"
"Modicogryllus algirius algirius","Orthoptera"
"Modicogryllus frontalis","Orthoptera"
"Montana montana","Orthoptera"
"Myrmeleotettix antennatus","Orthoptera"
"Myrmeleotettix maculatus maculatus","Orthoptera"
"Natula averni","Orthoptera"
"Nemobius sylvestris sylvestris","Orthoptera"
"Oecanthus dulcisonans","Orthoptera"
"Oecanthus pellucens pellucens","Orthoptera"
"Oedaleus decorus","Orthoptera"
"Oedipoda caerulescens caerulescens","Orthoptera"
"Oedipoda caerulescens sardeti","Orthoptera"
"Oedipoda charpentieri","Orthoptera"
"Oedipoda coerulea","Orthoptera"
"Oedipoda fuscocincta morini","Orthoptera"
"Oedipoda germanica germanica","Orthoptera"
"Oligoglena tibialis","Hemiptera"
"Omocestus antigai antigai","Orthoptera"
"Omocestus antigai bellmanni","Orthoptera"
"Omocestus defauti","Orthoptera"
"Omocestus haemorrhoidalis haemorrhoidalis","Orthoptera"
"Omocestus petraeus","Orthoptera"
"Omocestus raymondi","Orthoptera"
"Omocestus rufipes","Orthoptera"
"Omocestus viridulus","Orthoptera"
"Pachytrachis gracilis","Orthoptera"
"Pachytrachis striolatus","Orthoptera"
"Paracinema tricolor bisignata","Orthoptera"
"Phaneroptera falcata","Orthoptera"
"Phaneroptera laticerca","Orthoptera"
"Phaneroptera nana","Orthoptera"
"Pholidoptera aptera aptera","Orthoptera"
"Pholidoptera fallax","Orthoptera"
"Pholidoptera femorata","Orthoptera"
"Pholidoptera griseoaptera","Orthoptera"
"Pholidoptera littoralis insubrica","Orthoptera"
"Pholidoptera littoralis littoralis","Orthoptera"
"Platycleis affinis affinis","Orthoptera"
"Platycleis albopunctata albopunctata","Orthoptera"
"Platycleis albopunctata monticola","Orthoptera"
"Platycleis falx laticauda","Orthoptera"
"Platycleis grisea","Orthoptera"
"Platycleis intermedia intermedia","Orthoptera"
"Platycleis sabulosa","Orthoptera"
"Podismopsis keisti","Orthoptera"
"Podismopsis styriaca","Orthoptera"
"Poecilimon amissus","Orthoptera"
"Poecilimon gracilis","Orthoptera"
"Poecilimon ornatus","Orthoptera"
"Poecilimon schmidtii","Orthoptera"
"Poecilimon ukrainicus","Orthoptera"
"Polysarcus denticauda","Orthoptera"
"Polysarcus scutatus","Orthoptera"
"Prionotropis azami","Orthoptera"
"Prionotropis rhodanica","Orthoptera"
"Pseudochorthippus montanus","Orthoptera"
"Pseudochorthippus parallelus erythropus","Orthoptera"
"Pseudochorthippus parallelus parallelus","Orthoptera"
"Psophus stridulus stridulus","Orthoptera"
"Pteronemobius heydenii heydenii","Orthoptera"
"Pteronemobius lineolatus","Orthoptera"
"Ramburiella hispanica","Orthoptera"
"Rhacocleis annulata","Orthoptera"
"Rhacocleis bonfilsi","Orthoptera"
"Rhacocleis corsicana","Orthoptera"
"Rhacocleis germanica","Orthoptera"
"Rhacocleis poneli","Orthoptera"
"Roeseliana azami azami","Orthoptera"
"Roeseliana azami minor","Orthoptera"
"Roeseliana roeselii","Orthoptera"
"Ruspolia nitidula nitidula","Orthoptera"
"Sepiana sepium","Orthoptera"
"Sorapagus catalaunicus","Orthoptera"
"Sphingonotus caerulans","Orthoptera"
"Sphingonotus corsicus","Orthoptera"
"Sphingonotus rubescens rubescens","Orthoptera"
"Sphingonotus uvarovi","Orthoptera"
"Stauroderus scalaris scalaris","Orthoptera"
"Stenobothrus crassipes","Orthoptera"
"Stenobothrus cotticus","Orthoptera"
"Stenobothrus eurasius","Orthoptera"
"Stenobothrus festivus","Orthoptera"
"Stenobothrus fischeri fischeri","Orthoptera"
"Stenobothrus fischeri glaucescens","Orthoptera"
"Stenobothrus grammicus","Orthoptera"
"Stenobothrus lineatus lineatus","Orthoptera"
"Stenobothrus nigromaculatus nigromaculatus","Orthoptera"
"Stenobothrus rubicundulus","Orthoptera"
"Stenobothrus stigmaticus stigmaticus","Orthoptera"
"Stethophyma grossum","Orthoptera"
"Svercus palmetorum palmetorum","Orthoptera"
"Tessellana tessellata tessellata","Orthoptera"
"Tessellana veyseli","Orthoptera"
"Tettigettalna argentata","Hemiptera"
"Tettigettula pygmea","Hemiptera"
"Tettigonia cantans","Orthoptera"
"Tettigonia caudata caudata","Orthoptera"
"Tettigonia viridissima","Orthoptera"
"Thyreonotus corsicus corsicus","Orthoptera"
"Tibicina corsica corsica","Hemiptera"
"Tibicina corsica fairmairei","Hemiptera"
"Tibicina garricola","Hemiptera"
"Tibicina haematodes","Hemiptera"
"Tibicina nigronervosa","Hemiptera"
"Tibicina quadrisignata","Hemiptera"
"Tibicina steveni","Hemiptera"
"Tibicina picta","Hemiptera"
"Tropidopola cylindrica cylindrica","Orthoptera"
"Tylopsis lilifolia","Orthoptera"
"Uromenus brevicollis insularis","Orthoptera"
"Uromenus rugosicollis","Orthoptera"
"Yersinella beybienkoi","Orthoptera"
"Yersinella raymondii","Orthoptera"
"Zeuneriana abbreviata","Orthoptera"
