"recording_id","file_name","export_file_name"
26213,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1060.wav","Soundscape_VeMo_XXXXXXXX_26213"
26214,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1061.wav","Soundscape_VeMo_XXXXXXXX_26214"
26215,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1062.wav","Soundscape_VeMo_XXXXXXXX_26215"
26216,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1063.wav","Soundscape_VeMo_XXXXXXXX_26216"
26217,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1064.wav","Soundscape_VeMo_XXXXXXXX_26217"
26218,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1065.wav","Soundscape_VeMo_XXXXXXXX_26218"
26219,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1066.wav","Soundscape_VeMo_XXXXXXXX_26219"
26220,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1067.wav","Soundscape_VeMo_XXXXXXXX_26220"
26221,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1068.wav","Soundscape_VeMo_XXXXXXXX_26221"
26222,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1069.wav","Soundscape_VeMo_XXXXXXXX_26222"
26223,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1070.wav","Soundscape_VeMo_XXXXXXXX_26223"
26224,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1071.wav","Soundscape_VeMo_XXXXXXXX_26224"
26225,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1072.wav","Soundscape_VeMo_XXXXXXXX_26225"
26226,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1073.wav","Soundscape_VeMo_XXXXXXXX_26226"
26227,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1074.wav","Soundscape_VeMo_XXXXXXXX_26227"
26228,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1075.wav","Soundscape_VeMo_XXXXXXXX_26228"
26229,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1076.wav","Soundscape_VeMo_XXXXXXXX_26229"
26230,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1077.wav","Soundscape_VeMo_XXXXXXXX_26230"
26231,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1078.wav","Soundscape_VeMo_XXXXXXXX_26231"
26232,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1079.wav","Soundscape_VeMo_XXXXXXXX_26232"
26233,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1080.wav","Soundscape_VeMo_XXXXXXXX_26233"
26234,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1081.wav","Soundscape_VeMo_XXXXXXXX_26234"
26235,"Aves_VeMo_XXXXXX00FR_XXXXXXXX_1082.wav","Soundscape_VeMo_XXXXXXXX_26235"
